id,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_acceso_teconologia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_acceso_velocidad,Banda ancha fija,Dial up,Total,Mbps (Media de bajada)
20231Neuquén,2023,1,Neuquén,78.55,23.38,28030.0,72639.0,32296.0,23937.0,3510.0,160412.0,168.0,986.0,38414.0,13933.0,13192.0,6195.0,85257.0,2267.0,160412.0,159944.0,468.0,160412.0,93.42
20231Río Negro,2023,1,Río Negro,69.16,21.27,33604.0,49128.0,45329.0,16857.0,19413.0,164331.0,111.0,1076.0,29515.0,15171.0,18697.0,12079.0,57910.0,29772.0,164331.0,163783.0,548.0,164331.0,74.4
20231Salta,2023,1,Salta,57.67,13.97,33427.0,96922.0,56259.0,12269.0,6549.0,205426.0,114.0,1096.0,30564.0,69436.0,4822.0,104.0,92512.0,6778.0,205426.0,205421.0,5.0,205426.0,76.85
20231San Juan,2023,1,San Juan,49.75,12.67,38568.0,21215.0,12798.0,21912.0,7274.0,101767.0,24.0,2020.0,30051.0,11221.0,14799.0,10268.0,21544.0,11840.0,101767.0,101486.0,281.0,101767.0,18.7
20231San Luis,2023,1,San Luis,90.17,25.8,6283.0,42789.0,6952.0,78954.0,485.0,135463.0,60.0,624.0,11680.0,24133.0,13659.0,75904.0,6050.0,3353.0,135463.0,135281.0,182.0,135463.0,55.85
20231Santa Cruz,2023,1,Santa Cruz,43.42,12.92,9702.0,23839.0,12217.0,3660.0,943.0,50361.0,51.0,6810.0,11528.0,11380.0,9861.0,3697.0,5990.0,1044.0,50361.0,50163.0,198.0,50361.0,14.98
20231Santa Fe,2023,1,Santa Fe,78.13,24.57,138935.0,405618.0,283988.0,43487.0,14246.0,886274.0,468.0,7655.0,98198.0,180708.0,75061.0,26306.0,479777.0,18101.0,886274.0,886164.0,110.0,886274.0,92.22
20231Santiago Del Estero,2023,1,Santiago Del Estero,47.55,11.8,11642.0,80407.0,16656.0,6916.0,2934.0,118555.0,178.0,1186.0,21551.0,57189.0,21277.0,734.0,15447.0,993.0,118555.0,118553.0,2.0,118555.0,36.27
20231Tierra Del Fuego,2023,1,Tierra Del Fuego,104.23,30.9,12754.0,43146.0,405.0,157.0,651.0,57113.0,22.0,831.0,10944.0,13048.0,21348.0,3959.0,2386.0,4575.0,57113.0,56801.0,312.0,57113.0,14.58
20231Tucumán,2023,1,Tucumán,60.34,14.95,55822.0,19482.0,180976.0,4293.0,527.0,261100.0,39.0,1237.0,23379.0,29629.0,25565.0,1723.0,164402.0,15126.0,261100.0,261070.0,30.0,261100.0,95.79
20224Buenos Aires,2022,4,Buenos Aires,78.94,26.72,325908.0,2767247.0,1499149.0,129910.0,72451.0,4794665.0,28934.0,23347.0,259866.0,281550.0,244555.0,98670.0,3760109.0,97634.0,4794665.0,4788466.0,6199.0,4794665.0,111.0
